Country,Longitude,Latitude,Basin,Seep_Type,Seep_Name,CH4_Concentration,C2_Concentration,C3_Concentration,Delta13C1,DeltaD1,Bernard_Ratio
Thailand,69.3094,-42.0276,Barinas Basin,Gas,Gas Seep 2,7.0,0.4,92.7,-29.6,-199,1.3
Saudi Arabia,-95.3582,24.9896,Amu Darya Basin,Oil,Gas Seep 2,6.2,0.4,93.8,-29.3,-201,1.3
Russia,10.2785,37.0442,Niger Delta Basin,Oil,Oil Seep 2,6.3,0.4,93.3,-30.0,-201,1.3
Venezuela,-77.9289,41.1446,New Hebrides Basin,Gas,Gas Seep 1,6.2,0.4,94.0,-30.2,-199,1.5
India,49.6288,26.7669,Indus Basin,Gas,Oil Seep 1,6.8,0.3,92.6,-30.1,-205,1.5
Vietnam,54.6827,51.9911,Tracy Basin,Gas,Gas Seep 2,7.2,0.2,92.6,-29.6,-204,1.5
Norway,27.9594,69.0409,German North Sea Basin,Oil,Oil Seep 3,5.6,0.2,93.5,-29.5,-202,1.4
Yemen,-67.2005,-1.5734,Mumbai Offshore Basin,Gas,Gas Seep 1,5.7,0.2,92.7,-29.2,-199,1.6
_RARE_,-66.7464,44.2073,Masila Basin,Oil,Gas Seep 2,6.1,0.3,93.5,-29.4,-201,1.3
_RARE_,0.5119,12.1082,White Tiger Basin,Oil,Oil Seep 1,6.3,0.4,93.8,-30.0,-204,1.2
_RARE_,27.8952,12.8489,South Uruguay Basin,Gas,Gas Seep 1,6.3,0.1,93.7,-29.5,-199,1.3
Zimbabwe,54.6982,29.9121,_RARE_,Oil,Oil Seep 1,6.7,0.3,93.8,-29.6,-203,1.5
Uzbekistan,31.3173,45.3766,Arabian Basin,Oil,Gas Seep 2,6.3,0.4,93.5,-29.4,-201,1.3
Norway,108.2671,-42.0276,Great Basin Basin,Gas,Gas Seep 1,6.8,0.2,93.5,-29.2,-204,1.5
Vietnam,45.3259,38.4789,Upper Peninsula Basin,Gas,Gas Seep 2,6.3,0.1,93.8,-29.5,-198,1.5
India,25.3174,23.4695,Austin Chalk Basin,Oil,Gas Seep 1,5.7,0.2,93.5,-29.5,-201,1.4
Indonesia,51.0818,30.3186,Manica Basin,Oil,Gas Seep 1,6.3,0.4,94.0,-29.5,-202,1.4
Zambia,15.1691,43.0476,Austin Chalk Basin,Oil,Gas Seep 1,6.8,0.2,93.0,-29.7,-202,1.4
Canada,14.9652,41.3468,Santos Basin,Oil,Oil Seep 3,6.1,0.2,93.7,-30.0,-202,1.4
Venezuela,57.6893,-1.122,Falkland Plateau Basin,Gas,Gas Seep 2,5.7,0.4,93.9,-29.2,-199,1.2
Venezuela,31.3558,46.7503,Philadelphia Basin,Gas,Gas Seep 2,6.1,0.3,92.6,-29.6,-205,1.6
Russia,121.2178,27.1127,Red River Basin,Oil,Oil Seep 1,6.1,0.3,92.7,-29.5,-204,1.3
Norway,64.9903,24.17,North Sea Basin,Oil,Oil Seep 1,6.9,0.2,93.8,-30.2,-200,1.5
United States,-4.8538,42.3408,Eastern Venezuela Basin,Oil,Oil Seep 1,6.9,0.4,93.2,-29.4,-203,1.2
United States,41.1005,26.5239,Persian Gulf Basin,Oil,Oil Seep 1,6.2,0.3,92.7,-29.4,-205,1.5
Zimbabwe,41.6045,37.726,Barinas Basin,Oil,Oil Seep 3,5.7,0.1,92.8,-29.7,-203,1.3
Venezuela,103.0836,44.4819,Lake Maracaibo Basin,Oil,Oil Seep 1,7.0,0.2,93.2,-29.6,-204,1.1
Kuwait,-95.4647,34.9213,Gulf of Lion Basin,Gas,Gas Seep 1,6.8,0.2,93.1,-29.9,-203,1.5
United States,53.3835,14.8583,Great Basin Basin,Oil,Oil Seep 2,5.8,0.1,93.5,-29.4,-203,1.4
Thailand,-73.4852,16.4012,Washington Basin,Gas,Oil Seep 1,6.7,0.4,93.8,-29.2,-198,1.4
United States,-122.4043,61.5175,New Jersey Basin,Gas,Oil Seep 3,5.8,0.3,93.5,-29.8,-202,1.4
Turkey,110.0912,33.6171,Aegean Basin,Gas,Gas Seep 2,7.0,0.1,93.5,-29.3,-203,1.4
Thailand,-67.8881,-27.0871,Zimbabwe Basin,Gas,Oil Seep 3,6.7,0.3,93.5,-29.5,-198,1.3
United Arab Emirates,-75.2865,-18.8039,_RARE_,Gas,Gas Seep 2,7.0,0.2,92.9,-29.5,-205,1.4
Canada,71.9413,34.0516,Bas Cuu Long Basin,Gas,Oil Seep 1,6.5,0.3,93.3,-29.5,-201,1.4
Thailand,-75.236,29.612,Syria Basin,Oil,Oil Seep 1,5.7,0.4,93.8,-29.2,-199,1.2
Saudi Arabia,12.7331,37.1994,Luangwa Basin,Oil,Gas Seep 1,7.2,0.2,93.3,-29.2,-204,1.4
Zimbabwe,-83.7539,51.2924,Lodi Basin,Oil,Gas Seep 1,6.1,0.4,93.8,-29.4,-204,1.3
_RARE_,54.5198,-28.4485,Sudan Basin,Gas,Oil Seep 1,5.6,0.1,92.7,-30.1,-204,1.6
_RARE_,-122.4194,40.7238,Beaufort Sea Basin,Oil,Oil Seep 3,7.2,0.2,93.7,-29.2,-199,1.5
Turkey,36.688,12.521,Offshore Singapore Basin,Oil,Oil Seep 3,6.9,0.4,93.6,-30.1,-202,1.3
Zimbabwe,-78.2863,23.4881,West Siberian Basin,Gas,Gas Seep 2,6.9,0.3,92.9,-30.2,-201,1.3
Venezuela,11.2126,33.2546,Limpopo Basin,Gas,Gas Seep 1,5.7,0.3,93.1,-29.4,-202,1.3
Zimbabwe,-57.9242,10.692,Bukhara-Khiva Basin,Oil,Gas Seep 2,5.8,0.4,93.9,-29.4,-201,1.4
United States,0.2526,32.3913,Bas Cuu Long Basin,Oil,Gas Seep 2,6.8,0.4,93.9,-30.2,-203,1.5
_RARE_,120.1802,26.1887,Providence Basin,Oil,Oil Seep 1,7.2,0.3,92.6,-29.9,-199,1.5
Canada,-57.9947,33.4036,Salalah Basin,Gas,Oil Seep 1,7.0,0.4,92.6,-30.0,-204,1.5
Russia,-74.1502,40.0699,Lake Maracaibo Basin,Oil,Gas Seep 1,6.2,0.4,93.8,-29.5,-203,1.3
_RARE_,20.5844,52.0308,Santa Monica Basin,Gas,Oil Seep 1,7.1,0.3,92.7,-30.1,-199,1.5
Zimbabwe,48.5205,25.1078,Mahakam Delta Basin,Oil,Gas Seep 1,7.0,0.3,93.5,-29.6,-202,1.4
Uzbekistan,5.4373,58.1259,Aegean Basin,Oil,Gas Seep 2,7.1,0.4,93.3,-29.2,-199,1.3
Iraq,-81.1076,55.6149,Shabwah Basin,Oil,Gas Seep 1,6.1,0.3,92.7,-29.5,-203,1.5
Thailand,14.4114,11.481,San Joaquin Basin,Gas,Oil Seep 1,5.6,0.5,94.0,-30.2,-202,1.5
Uzbekistan,-21.9476,14.343,Mumbai Offshore Basin,Oil,Oil Seep 3,5.7,0.4,93.7,-30.0,-199,1.3
United States,14.5412,29.3592,Yangtze Basin,Gas,Oil Seep 3,7.2,0.2,92.7,-30.0,-199,1.4
Norway,-116.9214,-32.1989,Maranon Basin,Gas,Oil Seep 1,7.0,0.3,92.7,-29.1,-204,1.3
United Arab Emirates,113.8718,51.3516,Arabian Basin,Gas,Gas Seep 1,5.7,0.2,93.9,-29.5,-200,1.5
United States,30.5592,30.3196,Sudan Basin,Gas,Oil Seep 1,6.8,0.3,93.5,-29.1,-204,1.5
Zimbabwe,69.3402,47.538,Tracy Basin,Gas,Oil Seep 3,7.1,0.2,93.9,-29.5,-203,1.4
Vietnam,-62.2917,12.8758,Baghdad Basin,Gas,Oil Seep 3,6.1,0.1,94.0,-29.5,-201,1.4
Turkey,-60.4674,-0.3722,Zambezi Basin,Oil,Gas Seep 1,6.5,0.3,93.5,-29.5,-198,1.5
United Arab Emirates,31.9361,15.0048,Baghdad Basin,Gas,Oil Seep 1,5.6,0.3,93.5,-30.1,-204,1.6
Kuwait,-122.4095,34.5742,Levantine Basin,Oil,Oil Seep 2,6.3,0.4,93.5,-29.5,-201,1.3
Zimbabwe,-121.4448,-32.0677,Basin and Range Basin,Gas,Oil Seep 3,6.5,0.4,93.8,-29.9,-204,1.1
Zambia,44.5339,38.4859,Basin and Range Basin,Oil,Oil Seep 2,6.9,0.2,92.7,-30.0,-198,1.2
Thailand,57.3777,38.8833,Luangwa Basin,Oil,Oil Seep 2,6.2,0.2,93.0,-30.0,-205,1.3
Uzbekistan,45.7937,27.4907,Zimbabwe Basin,Oil,Oil Seep 3,5.8,0.3,92.7,-29.5,-201,1.5
Kuwait,-103.4363,36.9374,Caribbean Basin,Oil,Oil Seep 1,7.1,0.2,93.5,-29.5,-205,1.4
Venezuela,102.8171,24.5812,Sudan Basin,Gas,Oil Seep 2,6.9,0.4,93.9,-29.2,-202,1.6
United Arab Emirates,121.481,24.3852,Dutch North Sea Basin,Oil,Oil Seep 1,7.2,0.3,92.7,-29.6,-204,1.5
United States,-71.3003,36.6528,Luapula Basin,Oil,Oil Seep 3,6.5,0.3,93.1,-30.2,-201,1.6
Zimbabwe,51.8457,18.7126,Bukhara-Khiva Basin,Gas,Oil Seep 1,7.2,0.2,92.7,-29.1,-205,1.5
Turkey,32.995,41.8502,San Joaquin Basin,Gas,Oil Seep 1,7.0,0.2,92.7,-30.1,-205,1.5
_RARE_,2.8735,50.755,Shabwah Basin,Gas,Gas Seep 1,6.1,0.4,93.6,-29.2,-200,1.2
Zimbabwe,-64.686,8.2295,Heartland Basin,Gas,Oil Seep 2,6.2,0.2,92.8,-29.7,-205,1.5
Uzbekistan,105.3033,55.8026,Mahakam Delta Basin,Gas,Oil Seep 3,6.3,0.2,93.7,-29.1,-201,1.4
Venezuela,35.9396,11.3348,Bach Long Vi Basin,Gas,Oil Seep 2,7.1,0.4,93.8,-29.3,-201,1.3
Turkey,103.8646,9.7301,Denver Basin,Gas,Oil Seep 1,6.2,0.4,93.8,-29.5,-205,1.4
_RARE_,-92.7084,11.0693,Denver Basin,Oil,Oil Seep 2,6.1,0.2,93.8,-29.4,-202,1.4
Turkey,53.7782,23.696,Cauvery Basin,Gas,Oil Seep 3,7.0,0.2,92.7,-30.1,-202,1.3
Yemen,-121.2364,-18.9157,Offshore Singapore Basin,Gas,Oil Seep 3,6.1,0.2,92.6,-29.5,-202,1.6
Kuwait,33.7466,-15.1018,Arabian Basin,Gas,Oil Seep 1,7.2,0.4,93.3,-29.3,-201,1.3
United Arab Emirates,-122.4119,12.3688,Lake Maracaibo Basin,Oil,Oil Seep 3,5.7,0.2,93.0,-29.5,-202,1.4
Uzbekistan,28.1308,45.7684,Bukhara-Khiva Basin,Oil,Oil Seep 1,5.8,0.1,93.1,-29.2,-204,1.3
_RARE_,37.6373,38.7629,Bach Long Vi Basin,Oil,Oil Seep 3,6.2,0.4,93.6,-29.2,-199,1.5
Norway,137.3565,10.5073,Iowa Basin,Oil,Oil Seep 3,6.9,0.4,92.7,-29.2,-199,1.5
United States,116.4839,-41.5968,Eastern Venezuela Basin,Gas,Oil Seep 3,6.3,0.4,93.9,-29.2,-199,1.2
Russia,27.7549,63.9812,Saudi Basin,Gas,Oil Seep 2,5.6,0.3,92.7,-29.4,-201,1.5
Kuwait,104.2518,-15.4108,Lodi Basin,Gas,Gas Seep 2,6.5,0.2,92.8,-29.1,-203,1.5
Zimbabwe,43.6874,24.6671,Niger Delta Basin,Gas,Gas Seep 1,7.0,0.3,93.7,-29.3,-205,1.3
Venezuela,-71.6544,34.6206,Song Hong Basin,Gas,Gas Seep 2,7.1,0.2,93.1,-29.6,-202,1.6
Canada,-73.9738,-9.7023,Campeche Basin,Gas,Oil Seep 1,6.5,0.3,92.7,-30.1,-204,1.5
_RARE_,2.1917,-31.4033,North Sea Basin,Oil,Gas Seep 1,6.7,0.2,93.1,-29.5,-203,1.4
_RARE_,5.807,54.8692,Philadelphia Basin,Oil,Oil Seep 2,5.6,0.3,93.2,-29.1,-199,1.5
Vietnam,-71.1254,38.5828,German North Sea Basin,Gas,Oil Seep 3,7.0,0.2,93.6,-29.3,-201,1.5
Indonesia,103.1518,28.0565,Philadelphia Basin,Gas,Gas Seep 2,6.3,0.2,93.1,-29.5,-204,1.3
Saudi Arabia,55.9531,24.9677,Falkland Plateau Basin,Oil,Gas Seep 1,6.2,0.2,93.1,-29.5,-202,1.4
Zambia,-72.9126,15.4356,North West Shelf Basin,Oil,Oil Seep 2,6.3,0.1,93.2,-29.5,-204,1.2
Thailand,103.952,40.4893,Illinois Basin,Oil,Oil Seep 3,6.1,0.3,93.6,-29.4,-201,1.3
Vietnam,65.6556,14.2034,Austin Chalk Basin,Gas,Oil Seep 1,5.7,0.3,93.6,-30.1,-204,1.2
Norway,31.853,38.963,Atlantic Margin Basin,Oil,Gas Seep 2,7.2,0.2,93.7,-29.5,-202,1.4
United States,-104.4543,24.2768,Santa Monica Basin,Oil,Oil Seep 2,7.1,0.5,92.6,-30.0,-202,1.4
Canada,-102.6496,-3.9933,Santa Monica Basin,Oil,Oil Seep 2,6.3,0.4,94.0,-29.5,-199,1.5
Mexico,113.9197,-15.3787,Aden Rift Basin,Gas,Oil Seep 2,6.3,0.5,93.8,-29.4,-199,1.4
Iraq,9.5277,-37.522,Syria Basin,Gas,Oil Seep 3,7.2,0.2,93.3,-29.7,-202,1.4
Venezuela,120.4312,69.0409,Persian Gulf Basin,Gas,Oil Seep 1,6.5,0.1,92.7,-30.0,-204,1.5
Norway,-117.2292,24.3204,Dong Nai Basin,Gas,Oil Seep 1,7.0,0.2,93.5,-29.5,-202,1.4
Saudi Arabia,31.0559,6.5748,Bach Long Vi Basin,Oil,Oil Seep 3,6.7,0.4,92.6,-29.7,-204,1.3
_RARE_,143.7572,6.4935,Western Canada Sedimentary Basin,Oil,Oil Seep 3,6.1,0.3,93.9,-29.2,-204,1.5
_RARE_,104.2196,49.6994,Zimbabwe Border Basin,Gas,Oil Seep 2,6.5,0.3,93.8,-29.2,-205,1.4
India,45.5792,-19.0105,Great Basin Basin,Oil,Oil Seep 1,6.3,0.3,93.5,-29.6,-199,1.6
Mexico,31.0582,43.0712,Baghdad Basin,Gas,Oil Seep 3,6.9,0.5,92.6,-29.8,-204,1.5
Zambia,5.3652,14.3431,Santa Monica Basin,Oil,Oil Seep 2,7.1,0.3,93.3,-29.5,-202,1.3
United Arab Emirates,158.5603,46.9667,Western Zambia Basin,Oil,Gas Seep 2,5.6,0.3,93.9,-29.4,-199,1.3
Zambia,-119.6132,16.0575,North West Shelf Basin,Oil,Oil Seep 2,6.8,0.2,93.0,-30.1,-203,1.5
Venezuela,-70.9185,41.3222,San Joaquin Basin,Gas,Oil Seep 1,6.5,0.3,93.8,-30.2,-203,1.3
Thailand,30.3167,46.4057,Fergana Basin,Gas,Oil Seep 3,6.3,0.4,93.8,-29.2,-199,1.2
Norway,28.5032,55.8351,Yangtze Basin,Oil,Oil Seep 2,6.3,0.4,93.3,-29.2,-201,1.4
Thailand,42.2251,35.7898,Sudan Basin,Gas,Gas Seep 1,6.1,0.4,93.8,-29.4,-198,1.4
Norway,32.7222,-25.3293,Providence Basin,Oil,Oil Seep 2,6.3,0.4,93.9,-29.5,-199,1.3
United Arab Emirates,32.902,35.0724,New Hebrides Basin,Oil,Oil Seep 1,7.1,0.2,93.5,-29.6,-204,1.3
United States,5.8773,21.3328,Sirte Basin,Oil,Gas Seep 1,7.1,0.4,92.7,-30.0,-201,1.4
Kuwait,-83.3973,31.9158,Maracaibo Basin,Gas,Oil Seep 3,5.7,0.2,93.7,-29.5,-202,1.4
_RARE_,-66.2367,15.1594,Santos Basin,Gas,Oil Seep 3,6.8,0.2,93.5,-29.5,-199,1.5
United Arab Emirates,-117.8622,31.4791,New Jersey Basin,Gas,Oil Seep 2,7.0,0.1,92.8,-29.7,-205,1.6
Canada,-3.5273,26.4047,Western Zambia Basin,Oil,Oil Seep 2,6.1,0.3,93.7,-29.3,-199,1.4
Zambia,53.8484,40.3167,Song Hong Basin,Gas,Oil Seep 3,6.9,0.3,92.8,-29.5,-202,1.4
Zimbabwe,37.8,26.6789,Saudi Basin,Gas,Oil Seep 3,6.1,0.3,93.1,-29.1,-200,1.1
Saudi Arabia,-71.6795,14.2479,Mahakam Delta Basin,Oil,Gas Seep 2,7.0,0.1,93.7,-30.0,-199,1.4
United States,-84.2404,36.5564,Shabwah Basin,Oil,Oil Seep 2,6.3,0.1,92.7,-29.6,-198,1.3
_RARE_,119.0081,33.6165,North Sea Basin,Gas,Gas Seep 2,7.1,0.1,92.8,-30.0,-199,1.1
Zimbabwe,-74.1596,61.151,South Uruguay Basin,Gas,Gas Seep 1,6.1,0.4,93.8,-30.0,-205,1.3
Thailand,44.9246,20.9884,Tracy Basin,Gas,Gas Seep 1,5.8,0.2,92.6,-29.9,-204,1.2
Indonesia,30.4104,37.0731,United Kingdom Continental Shelf Basin,Gas,Oil Seep 1,5.8,0.3,93.8,-29.4,-199,1.3
Yemen,-122.4194,-32.1447,Gulf of Valencia Basin,Oil,Oil Seep 2,5.6,0.2,94.0,-29.5,-202,1.4
Saudi Arabia,14.0774,-15.3899,Upper Peninsula Basin,Gas,Oil Seep 3,7.0,0.2,93.8,-29.6,-201,1.3
Mexico,-121.8267,42.123,Eastern Venezuela Basin,Gas,Oil Seep 2,6.1,0.2,93.5,-29.4,-204,1.4
United States,8.3386,30.767,Gulf of Thailand Basin,Gas,Oil Seep 1,6.7,0.2,92.7,-29.8,-201,1.3
Canada,-89.9399,19.5673,Beaufort Sea Basin,Gas,Oil Seep 3,6.2,0.4,93.1,-29.2,-199,1.2
Norway,47.8664,37.3012,German North Sea Basin,Gas,Oil Seep 2,6.3,0.1,93.5,-29.9,-201,1.5
Russia,3.5163,50.0131,East Coast Basin,Oil,Oil Seep 1,6.9,0.1,92.7,-29.4,-205,1.4
Russia,-1.0445,51.2355,_RARE_,Oil,Oil Seep 1,7.0,0.4,92.7,-29.3,-198,1.5
Kuwait,8.9721,0.7939,Norwegian Sea Basin,Oil,Oil Seep 3,7.2,0.2,93.7,-29.5,-202,1.5
_RARE_,-73.9829,35.7086,Barinas Basin,Oil,Oil Seep 1,6.7,0.3,92.7,-30.1,-204,1.5
Zimbabwe,-94.605,31.5909,Salalah Basin,Gas,Oil Seep 2,6.5,0.4,93.8,-29.4,-201,1.3
Zimbabwe,5.5807,69.0409,Agulhas Basin,Gas,Gas Seep 1,6.3,0.1,93.5,-29.5,-205,1.4
Venezuela,-68.7538,55.1641,Southern San Francisco Bay Basin,Oil,Gas Seep 1,6.1,0.2,93.0,-29.5,-202,1.4
Thailand,3.3082,42.3565,Western Zambia Basin,Gas,Gas Seep 1,6.1,0.1,93.5,-29.5,-202,1.4
Canada,-71.3825,36.767,Beaufort Sea Basin,Oil,Oil Seep 3,6.8,0.3,93.5,-29.2,-202,1.2
Indonesia,15.6496,31.9955,Bukhara-Khiva Basin,Gas,Gas Seep 1,6.7,0.2,92.9,-29.4,-199,1.5
Norway,6.3904,30.2706,Barinas Basin,Oil,Oil Seep 3,6.9,0.4,93.9,-29.4,-199,1.2
_RARE_,-71.5327,60.5597,West Siberian Basin,Oil,Oil Seep 1,7.2,0.2,92.7,-29.5,-204,1.3
Canada,-87.2009,60.5009,Limpopo Basin,Oil,Gas Seep 2,5.6,0.3,93.9,-29.1,-202,1.1
United States,32.8932,42.971,Persian Gulf Basin,Oil,Oil Seep 2,6.1,0.4,93.7,-29.4,-200,1.5
Norway,23.8148,42.357,Offshore Singapore Basin,Gas,Gas Seep 2,7.1,0.1,92.7,-30.1,-204,1.2
Thailand,5.7932,69.0409,Masila Basin,Gas,Gas Seep 2,5.6,0.2,93.0,-29.5,-202,1.4
India,61.966,40.8173,Zimbabwe Basin,Oil,Gas Seep 2,6.2,0.1,93.8,-30.1,-204,1.5
Saudi Arabia,29.7814,55.7426,Mahakam Delta Basin,Gas,Gas Seep 2,5.6,0.3,93.6,-30.2,-198,1.1
Venezuela,108.6553,-34.1745,Black Sea Basin,Gas,Oil Seep 1,6.8,0.3,93.5,-29.2,-205,1.4
Uzbekistan,26.7379,40.7132,Adriatic Basin,Oil,Oil Seep 3,6.5,0.4,93.2,-29.2,-198,1.2
Venezuela,41.5031,43.8338,Houston Basin,Gas,Gas Seep 1,5.8,0.2,93.0,-29.5,-205,1.6
Uzbekistan,28.1852,15.8246,Southern California Basin,Gas,Oil Seep 1,6.2,0.3,93.1,-30.1,-200,1.4
Venezuela,-74.6824,41.274,Houston Basin,Gas,Oil Seep 3,6.2,0.2,93.0,-29.9,-204,1.5
Russia,-5.0759,33.5606,New Jersey Basin,Gas,Gas Seep 1,6.9,0.2,93.5,-30.2,-198,1.1
Vietnam,-121.2611,-14.6702,German North Sea Basin,Gas,Oil Seep 1,6.1,0.4,92.7,-29.2,-202,1.3
India,-71.5204,-1.1656,Rumaila Basin,Oil,Oil Seep 1,6.1,0.2,92.7,-29.5,-202,1.3
Yemen,8.4538,44.979,South Uruguay Basin,Gas,Oil Seep 1,5.7,0.4,93.8,-29.4,-204,1.4
Canada,29.1741,26.4445,Gulf of Valencia Basin,Oil,Oil Seep 3,5.7,0.4,93.8,-29.7,-201,1.2
Norway,-74.3481,33.232,Adriatic Basin,Oil,Oil Seep 3,6.2,0.2,93.0,-29.9,-203,1.3
Norway,79.5681,39.224,Houston Basin,Gas,Oil Seep 1,6.3,0.3,92.7,-30.0,-203,1.5
Russia,-119.1489,40.7151,Burgos Basin,Gas,Gas Seep 2,6.9,0.4,93.9,-30.1,-203,1.2
Vietnam,6.184,23.8387,Arabian Basin,Gas,Oil Seep 3,6.1,0.2,93.5,-29.5,-202,1.4
Venezuela,-121.2075,39.859,Nam Con Son Basin,Gas,Oil Seep 3,6.5,0.3,93.7,-30.1,-204,1.2
United States,66.7829,38.3663,Zimbabwe Border Basin,Oil,Gas Seep 2,6.1,0.2,93.2,-29.8,-204,1.3
Turkey,121.2736,41.3773,Persian Gulf Basin,Gas,Gas Seep 1,6.1,0.2,94.0,-29.9,-201,1.4
Zimbabwe,-122.2236,38.019,Campeche Basin,Oil,Gas Seep 1,7.2,0.4,93.5,-30.2,-204,1.3
United Arab Emirates,6.2522,39.1141,Campeche Basin,Gas,Gas Seep 1,5.7,0.3,93.9,-29.6,-201,1.3
_RARE_,51.0647,-32.9002,Maracaibo Basin,Gas,Oil Seep 1,7.2,0.2,93.9,-29.1,-199,1.5
Kuwait,166.9592,21.9528,Providence Basin,Gas,Oil Seep 2,6.2,0.2,94.0,-30.0,-204,1.4
Mexico,53.8034,12.9827,Niger Delta Basin,Oil,Gas Seep 2,5.6,0.2,93.9,-29.4,-204,1.3
Venezuela,107.9651,31.9715,Baghdad Basin,Oil,Oil Seep 2,5.6,0.1,92.7,-30.1,-204,1.4
Russia,66.7609,69.0409,Arabian Basin,Oil,Gas Seep 2,6.9,0.4,93.8,-29.1,-202,1.3
Mexico,-57.7268,41.2899,North Sea Basin,Gas,Oil Seep 1,6.1,0.3,93.9,-29.5,-204,1.5
Norway,-77.8981,-21.081,Providence Basin,Gas,Gas Seep 1,6.8,0.1,92.7,-30.0,-201,1.5
United Arab Emirates,28.4197,-32.2746,Nam Con Son Basin,Oil,Oil Seep 1,6.2,0.3,92.7,-30.1,-204,1.6
_RARE_,-69.3566,14.0478,Levant Basin,Gas,Oil Seep 1,6.1,0.3,93.8,-29.4,-201,1.3
Russia,104.3663,33.9144,Southern California Borderland Basin,Oil,Gas Seep 1,6.3,0.2,92.6,-29.4,-198,1.4
India,-119.2698,34.0516,Bas Cuu Long Basin,Oil,Oil Seep 2,6.1,0.2,93.7,-30.2,-201,1.4
_RARE_,-105.6167,40.713,Shabwah Basin,Gas,Gas Seep 2,6.3,0.4,93.5,-29.5,-199,1.4
United States,-122.4194,33.2251,Washington Basin,Gas,Oil Seep 3,6.5,0.4,94.0,-29.2,-199,1.2
Zambia,5.3284,15.0932,Bach Long Vi Basin,Oil,Gas Seep 2,7.0,0.3,93.2,-29.2,-199,1.5
_RARE_,2.7972,34.0519,Agulhas Basin,Oil,Oil Seep 3,6.9,0.4,92.7,-29.2,-199,1.2
Norway,67.4021,42.3519,Offshore Singapore Basin,Oil,Gas Seep 1,5.8,0.3,93.7,-29.5,-202,1.4
United States,68.1963,-19.0113,Austin Chalk Basin,Oil,Gas Seep 1,6.7,0.4,92.8,-29.5,-205,1.2
Kuwait,30.403,23.7601,South Uruguay Basin,Oil,Gas Seep 1,6.1,0.2,92.7,-30.0,-205,1.5
Mexico,9.512,12.8503,Luangwa Basin,Oil,Oil Seep 2,7.2,0.4,93.9,-29.4,-201,1.4
Turkey,-66.5408,26.3842,Saudi Basin,Gas,Oil Seep 2,6.2,0.4,93.9,-30.0,-203,1.6
Canada,53.9932,-19.4917,Bas Cuu Long Basin,Oil,Oil Seep 1,6.2,0.2,92.7,-29.5,-204,1.5
Zimbabwe,-72.3837,69.0409,Shabwah Basin,Oil,Oil Seep 2,5.8,0.1,93.2,-30.0,-199,1.5
Venezuela,52.5734,38.4028,Taiwan Basin,Oil,Gas Seep 1,6.1,0.2,93.1,-29.5,-201,1.4
Uzbekistan,-50.1156,42.3562,Fergana Basin,Gas,Gas Seep 1,6.5,0.5,94.0,-29.5,-198,1.2
Venezuela,-72.7405,0.2592,San Joaquin Basin,Gas,Oil Seep 1,6.7,0.4,92.7,-29.4,-198,1.3
Russia,4.7258,45.2508,Anadarko Basin,Oil,Oil Seep 2,5.6,0.2,92.9,-29.5,-202,1.4
Mexico,9.217,3.7573,Fergana Basin,Gas,Oil Seep 2,6.8,0.2,93.1,-30.1,-203,1.3
Uzbekistan,-72.7286,-18.9768,Arabian Basin,Oil,Oil Seep 2,6.7,0.1,92.6,-30.2,-205,1.3
Mexico,-118.2433,40.7498,Persian Gulf Basin,Gas,Gas Seep 1,5.6,0.1,93.5,-29.5,-202,1.5
Russia,-110.5771,40.7138,Southern San Francisco Bay Basin,Gas,Gas Seep 2,6.7,0.4,93.0,-29.5,-202,1.3
Norway,69.307,12.8691,Arabian Basin,Gas,Oil Seep 1,6.3,0.5,93.3,-29.4,-204,1.3
Indonesia,-74.0654,29.8949,German North Sea Basin,Gas,Gas Seep 2,6.1,0.3,93.7,-29.4,-202,1.4
India,-104.3651,-11.3492,Western Canada Sedimentary Basin,Gas,Oil Seep 2,6.8,0.5,92.9,-30.0,-202,1.4
Saudi Arabia,6.5044,41.3688,Limpopo Basin,Gas,Gas Seep 1,5.6,0.4,93.2,-29.6,-201,1.3
Venezuela,13.5712,31.7616,Offshore Singapore Basin,Gas,Oil Seep 3,6.1,0.3,93.7,-30.1,-204,1.4
Canada,24.014,-31.4364,Zambezi Basin,Oil,Oil Seep 3,5.6,0.1,93.9,-29.4,-202,1.4
Vietnam,7.9293,69.0409,Syria Basin,Oil,Gas Seep 1,6.3,0.5,93.9,-29.5,-199,1.3
Zimbabwe,32.749,20.7126,Sirte Basin,Oil,Gas Seep 2,6.9,0.1,92.6,-29.2,-204,1.5
United States,34.7516,4.5493,Maranon Basin,Oil,Oil Seep 3,6.8,0.1,93.1,-30.2,-203,1.5
Canada,-68.4721,40.7137,San Joaquin Basin,Gas,Oil Seep 3,7.0,0.2,92.7,-29.6,-201,1.5
Vietnam,47.9223,39.7418,Western Zambia Basin,Oil,Oil Seep 1,7.1,0.3,93.5,-29.6,-205,1.4
Kuwait,-71.9193,26.4407,Fergana Basin,Gas,Gas Seep 1,5.8,0.4,93.5,-29.4,-205,1.2
Saudi Arabia,-35.8989,-3.7628,Southern Georgia Embayment Basin,Oil,Oil Seep 2,7.2,0.4,92.7,-29.3,-204,1.1
_RARE_,-99.9271,26.4464,Qatar Arch Basin,Oil,Oil Seep 3,6.7,0.2,93.1,-29.9,-200,1.5
Thailand,-67.4033,42.3353,Dong Nai Basin,Oil,Gas Seep 1,6.9,0.5,93.9,-29.4,-198,1.2
